FUND,,Security Code,Name of Security,Quantity (Share),Buy/Sell,Broker,Trade Date,Settlement Date,Avg. Dealing Price
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754.0,HOPSON DEVELOPMENT HOLDINGS LIMITED,44000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,7.1609
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,826.0,TIANGONG INTERNATIONAL CO LTD,360000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,1.25
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,869.0,PLAYMATES TOYS LTD,128000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,1.6131
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916.0,CHINA LONGYUAN POWER GROUP CORP,2201000.0,Sell,BANK OF AMERICA MERRILL,42019.0,42023.0,8.7153
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916.0,CHINA LONGYUAN POWER GROUP CORP,4000000.0,Sell,BANK OF AMERICA MERRILL,42019.0,42023.0,8.6739
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958.0,HUANENG RENEWABLES CORP LTD,2500000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,2.8
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1068.0,CHINA YURUN FOOD GROUP LTD,44000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,3.1586
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370.0,HENGSHI MINING INVESTMENTS LTD,20000.0,Sell,CHINA CONSTRUCTION BANK,42019.0,42023.0,2.495
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900.0,CHINA ITS HOLDINGS CO LTD,200000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,0.9813
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2018.0,AAC TECHNOLOGIES HOLDINGS INC,200000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,45.6179
